,Location,Number of rooms,Floor number,Area of apartment,Price,Currency,Date,Condition,Document status
9403,8 Noyabr m.,2 otaqlı,10/18 mərtəbə,60 m²,198 000,AZN,2024-11-16,Təmirli,Çıxarış var
9404,Yasamal r.,1 otaqlı,12/12 mərtəbə,33 m²,109 000,AZN,2024-05-27,Təmirli,Çıxarış var
9405,7-ci mikrorayon q.,2 otaqlı,17/17 mərtəbə,55 m²,143 000,AZN,2024-11-16,Təmirli,Çıxarış var
9406,Memar Əcəmi m.,2 otaqlı,4/18 mərtəbə,85 m²,194 000,AZN,2024-11-16,Təmirli,Çıxarış var
9407,Həzi Aslanov q.,4 otaqlı,13/18 mərtəbə,141 m²,260 000,AZN,2024-11-16,Təmirli,Çıxarış var
9408,Qaradağ r.,4 otaqlı,14/14 mərtəbə,136.6 m²,235 000,AZN,2024-10-10,Təmirli,Çıxarış var
9409,Şah İsmayıl Xətai m.,2 otaqlı,18/24 mərtəbə,76 m²,210 000,AZN,2024-03-29,Təmirli,Müqavilə
9410,Xalqlar Dostluğu m.,2 otaqlı,12/18 mərtəbə,90 m²,185 000,AZN,2024-08-20,Təmirli,Çıxarış var
9411,İçəri Şəhər m.,2 otaqlı,5/12 mərtəbə,82 m²,350 000,AZN,2024-10-12,Təmirli,Çıxarış var
9412,Masazır q.,2 otaqlı,7/7 mərtəbə,52 m²,55 000,AZN,2024-06-12,Təmirli,Müqavilə
9413,Masazır q.,1 otaqlı,1/6 mərtəbə,54 m²,55 000,AZN,2024-11-16,Təmirsiz,Çıxarış var
9414,Həzi Aslanov m.,2 otaqlı,12/19 mərtəbə,53 m²,150 000,AZN,2024-09-04,Təmirli,Çıxarış var
9415,Yeni Yasamal q.,2 otaqlı,16/17 mərtəbə,60 m²,142 000,AZN,2024-10-18,Təmirli,Çıxarış var
9416,Hövsan q.,3 otaqlı,9/9 mərtəbə,70 m²,91 500,AZN,2024-11-11,Təmirli,Çıxarış var
9417,8 Noyabr m.,3 otaqlı,17/18 mərtəbə,150 m²,355 000,AZN,2024-11-16,Təmirli,Çıxarış var
9418,Yasamal q.,3 otaqlı,3/12 mərtəbə,85 m²,195 000,AZN,2024-11-16,Təmirsiz,Çıxarış var
9419,Bayıl q.,2 otaqlı,7/18 mərtəbə,115.2 m²,264 000,AZN,2024-02-16,Təmirsiz,Çıxarış var
9420,Neftçilər m.,3 otaqlı,15/19 mərtəbə,90 m²,200 000,AZN,2024-11-15,Təmirli,Çıxarış var
9421,Həzi Aslanov m.,2 otaqlı,4/19 mərtəbə,87 m²,197 000,AZN,2024-10-05,Təmirli,Çıxarış var
9422,Nəriman Nərimanov m.,3 otaqlı,9/19 mərtəbə,129 m²,284 000,AZN,2024-11-16,Təmirli,Çıxarış var
9423,Nəriman Nərimanov m.,2 otaqlı,3/15 mərtəbə,77 m²,240 000,AZN,2024-09-16,Təmirli,Müqavilə
9424,Nərimanov r.,2 otaqlı,3/22 mərtəbə,75 m²,227 000,AZN,2024-10-28,Təmirli,Çıxarış var
9425,28 May m.,3 otaqlı,13/15 mərtəbə,145 m²,470 000,AZN,2024-11-16,Təmirli,Çıxarış var
9426,İnşaatçılar m.,3 otaqlı,3/14 mərtəbə,132 m²,350 000,AZN,2024-11-16,Təmirli,Çıxarış var
9427,Bakıxanov q.,5 otaqlı,4/4 mərtəbə,215 m²,250 000,AZN,2024-11-16,Təmirli,Çıxarış var
9428,Şah İsmayıl Xətai m.,2 otaqlı,8/16 mərtəbə,97 m²,237 650,AZN,2024-11-16,Təmirsiz,Müqavilə
9429,8 Noyabr m.,3 otaqlı,10/19 mərtəbə,168 m²,384 000,AZN,2024-11-06,Təmirli,Çıxarış var
9430,İnşaatçılar m.,2 otaqlı,3/19 mərtəbə,48 m²,130 000,AZN,2024-11-05,Təmirli,Çıxarış var
9431,8 Noyabr m.,2 otaqlı,17/17 mərtəbə,70 m²,185 000,AZN,2024-11-16,Təmirli,Çıxarış var
9432,Kubinka q.,4 otaqlı,10/16 mərtəbə,200 m²,395 001,AZN,2024-10-14,Təmirli,Çıxarış var
9433,Həzi Aslanov m.,2 otaqlı,15/19 mərtəbə,65 m²,135 000,AZN,2024-11-14,Təmirli,Çıxarış var
9434,Masazır q.,2 otaqlı,2/6 mərtəbə,80 m²,78 000,AZN,2024-10-09,Təmirli,Müqavilə
9435,Qara Qarayev m.,3 otaqlı,15/16 mərtəbə,127 m²,268 000,AZN,2024-11-16,Təmirli,Çıxarış var
9436,Yeni Yasamal q.,3 otaqlı,8/15 mərtəbə,102 m²,91 000,AZN,2024-11-22,Təmirsiz,Müqavilə
9437,Neftçilər m.,3 otaqlı,2/17 mərtəbə,130 m²,245 000,AZN,2023-12-21,Təmirsiz,Müqavilə
9438,Əhmədli q.,2 otaqlı,1/11 mərtəbə,53 m²,87 450,AZN,2024-11-06,Təmirsiz,Çıxarış var
9439,Nəsimi r.,3 otaqlı,20/20 mərtəbə,85 m²,234 900,AZN,2024-11-16,Təmirli,Müqavilə
9440,Şah İsmayıl Xətai m.,5 otaqlı,8/28 mərtəbə,500 m²,2 200 000,AZN,2021-11-15,Təmirli,Çıxarış var
9441,Qara Qarayev m.,3 otaqlı,2/16 mərtəbə,160 m²,318 000,AZN,2024-11-13,Təmirli,Çıxarış var
9442,Nəsimi r.,3 otaqlı,8/9 mərtəbə,115 m²,230 000,AZN,2024-10-02,Təmirsiz,Çıxarış var
9443,Nəsimi r.,2 otaqlı,5/15 mərtəbə,63 m²,137 000,AZN,2024-09-03,Təmirsiz,Müqavilə
9444,Nəsimi r.,3 otaqlı,8/12 mərtəbə,106 m²,238 000,AZN,2024-11-03,Təmirli,Müqavilə
9445,Nəsimi r.,2 otaqlı,5/10 mərtəbə,63 m²,137 000,AZN,2024-10-29,Təmirsiz,Müqavilə
9446,Şah İsmayıl Xətai m.,2 otaqlı,2/16 mərtəbə,62.4 m²,165 000,AZN,2024-11-10,Təmirli,Çıxarış var
9447,Abşeron r.,3 otaqlı,10/11 mərtəbə,89 m²,140 000,AZN,2024-11-15,Təmirli,Çıxarış var
9448,Masazır q.,3 otaqlı,13/14 mərtəbə,119 m²,139 000,AZN,2024-11-15,Təmirli,Müqavilə
9449,Qara Qarayev m.,2 otaqlı,10/11 mərtəbə,50 m²,135 000,AZN,2024-10-26,Təmirli,Müqavilə
9450,Elmlər Akademiyası m.,3 otaqlı,8/18 mərtəbə,100 m²,365 000,AZN,2024-08-29,Təmirsiz,Çıxarış var
9451,İnşaatçılar m.,2 otaqlı,5/10 mərtəbə,96 m²,196 000,AZN,2024-11-15,Təmirli,Çıxarış var
9452,Nəriman Nərimanov m.,3 otaqlı,14/16 mərtəbə,153 m²,359 550,AZN,2024-06-10,Təmirsiz,Çıxarış var
9453,Dərnəgül m.,2 otaqlı,15/19 mərtəbə,88 m²,210 000,AZN,2024-10-13,Təmirli,Çıxarış var
9454,7-ci mikrorayon q.,2 otaqlı,12/19 mərtəbə,90 m²,215 000,AZN,2024-10-13,Təmirsiz,Çıxarış var
9455,20 Yanvar m.,2 otaqlı,8/19 mərtəbə,50 m²,136 000,AZN,2024-11-14,Təmirli,Çıxarış var
9456,Yeni Yasamal q.,2 otaqlı,16/19 mərtəbə,60 m²,144 500,AZN,2024-11-15,Təmirli,Çıxarış var
9457,Əmircan q.,2 otaqlı,5/5 mərtəbə,55 m²,76 000,AZN,2024-11-15,Təmirli,Çıxarış var
9458,Masazır q.,2 otaqlı,2/6 mərtəbə,80 m²,78 000,AZN,2024-10-09,Təmirli,Müqavilə
9459,Neftçilər m.,3 otaqlı,16/17 mərtəbə,92 m²,230 000,AZN,2024-10-26,Təmirli,Çıxarış var
9460,Yasamal q.,1 otaqlı,6/9 mərtəbə,42 m²,99 500,AZN,2024-11-15,Təmirli,Çıxarış var
9461,Qara Qarayev m.,3 otaqlı,13/16 mərtəbə,78 m²,205 000,AZN,2024-11-09,Təmirli,Çıxarış var
9462,Qara Qarayev m.,3 otaqlı,12/17 mərtəbə,92 m²,225 000,AZN,2024-08-28,Təmirli,Çıxarış var
9463,Qara Qarayev m.,2 otaqlı,4/16 mərtəbə,69 m²,158 000,AZN,2024-10-23,Təmirsiz,Çıxarış var
9464,28 May m.,5 otaqlı,18/20 mərtəbə,218 m²,800 000,AZN,2024-08-19,Təmirli,Çıxarış var
9465,Həzi Aslanov m.,3 otaqlı,11/16 mərtəbə,82 m²,195 000,AZN,2024-10-07,Təmirli,Çıxarış var
9466,Elmlər Akademiyası m.,3 otaqlı,3/12 mərtəbə,80 m²,270 000,AZN,2024-10-19,Təmirli,Müqavilə
9467,Nardaran q.,3 otaqlı,3/6 mərtəbə,123.7 m²,473 496,AZN,2024-07-16,Təmirli,Müqavilə
9468,Nardaran q.,2 otaqlı,3/4 mərtəbə,94 m²,460 000,AZN,2023-10-11,Təmirli,Müqavilə
9469,Qara Qarayev m.,3 otaqlı,7/14 mərtəbə,125 m²,262 500,AZN,2024-09-07,Təmirsiz,Müqavilə
9470,Qara Qarayev m.,3 otaqlı,15/17 mərtəbə,120 m²,300 000,AZN,2024-11-15,Təmirli,Çıxarış var
9471,Elmlər Akademiyası m.,3 otaqlı,21/21 mərtəbə,100 m²,215 000,AZN,2024-08-15,Təmirli,Müqavilə
9472,Əhmədli m.,2 otaqlı,12/17 mərtəbə,70 m²,162 000,AZN,2024-10-03,Təmirli,Çıxarış var
9473,Masazır q.,2 otaqlı,2/6 mərtəbə,82 m²,95 000,AZN,2024-11-15,Təmirli,Çıxarış var
9474,Qara Qarayev m.,2 otaqlı,6/14 mərtəbə,91 m²,195 000,AZN,2024-10-22,Təmirli,Çıxarış var
9475,Xətai r.,3 otaqlı,3/17 mərtəbə,60 m²,155 000,AZN,2024-07-05,Təmirli,Çıxarış var
9476,Yasamal r.,3 otaqlı,10/21 mərtəbə,177 m²,295 000,AZN,2024-06-06,Təmirli,Müqavilə
9477,Qara Qarayev m.,3 otaqlı,3/17 mərtəbə,117.7 m²,250 722,AZN,2024-11-15,Təmirsiz,Çıxarış var
9478,Nəriman Nərimanov m.,3 otaqlı,11/19 mərtəbə,101 m²,250 000,AZN,2024-05-02,Təmirli,Çıxarış var
9479,Şah İsmayıl Xətai m.,3 otaqlı,24/24 mərtəbə,100.5 m²,205 000,AZN,2024-05-11,Təmirli,Çıxarış var
9480,Nizami m.,5 otaqlı,10/12 mərtəbə,200 m²,440 000,AZN,2024-11-15,Təmirli,Çıxarış var
9481,Masazır q.,2 otaqlı,1/6 mərtəbə,72 m²,83 000,AZN,2024-11-15,Təmirli,Çıxarış var
9482,Nizami m.,2 otaqlı,16/17 mərtəbə,60 m²,230 000,AZN,2024-11-14,Təmirli,Çıxarış var
9483,Ağ şəhər q.,3 otaqlı,3/7 mərtəbə,111 m²,499 000,AZN,2024-07-14,Təmirsiz,Müqavilə
9484,Xalqlar Dostluğu m.,3 otaqlı,13/17 mərtəbə,105 m²,210 000,AZN,2024-10-31,Təmirli,Müqavilə
9485,Xalqlar Dostluğu m.,2 otaqlı,4/17 mərtəbə,62 m²,138 000,AZN,2024-11-15,Təmirli,Çıxarış var
9486,Masazır q.,3 otaqlı,5/6 mərtəbə,96 m²,95 000,AZN,2024-10-03,Təmirli,Çıxarış var
9487,Nəsimi r.,2 otaqlı,10/17 mərtəbə,60 m²,198 000,AZN,2024-11-11,Təmirli,Çıxarış var
9488,Əhmədli q.,3 otaqlı,2/16 mərtəbə,92 m²,150 000,AZN,2023-08-26,Təmirli,Çıxarış var
9489,Xətai r.,2 otaqlı,18/19 mərtəbə,53 m²,165 000,AZN,2024-11-15,Təmirli,Çıxarış var
9490,28 May m.,2 otaqlı,8/16 mərtəbə,70 m²,273 000,AZN,2024-11-11,Təmirli,Müqavilə
9491,Səbail r.,4 otaqlı,7/16 mərtəbə,124 m²,254 500,AZN,2024-11-15,Təmirli,Çıxarış var
9492,8 Noyabr m.,3 otaqlı,3/17 mərtəbə,137 m²,330 000,AZN,2024-10-01,Təmirli,Müqavilə
9493,Əhmədli m.,2 otaqlı,2/6 mərtəbə,58 m²,125 000,AZN,2024-11-06,Təmirli,Çıxarış var
9494,Həzi Aslanov q.,2 otaqlı,3/12 mərtəbə,82 m²,141 000,AZN,2024-10-16,Təmirsiz,Müqavilə
9495,Xalqlar Dostluğu m.,4 otaqlı,13/17 mərtəbə,178 m²,340 000,AZN,2024-10-27,Təmirli,Çıxarış var
9496,Elmlər Akademiyası m.,2 otaqlı,11/18 mərtəbə,67 m²,234 500,AZN,2024-11-15,Təmirsiz,Çıxarış var
9497,Qara Qarayev m.,2 otaqlı,5/16 mərtəbə,80 m²,185 000,AZN,2024-11-11,Təmirli,Çıxarış var
9498,Nəriman Nərimanov m.,3 otaqlı,10/16 mərtəbə,135 m²,272 000,AZN,2024-08-27,Təmirsiz,Müqavilə
9499,Şah İsmayıl Xətai m.,2 otaqlı,11/25 mərtəbə,85 m²,249 000,AZN,2024-11-15,Təmirli,Müqavilə
9500,20 Yanvar m.,4 otaqlı,18/19 mərtəbə,173 m²,370 000,AZN,2024-11-15,Təmirli,Çıxarış var
9501,Xətai r.,3 otaqlı,5/16 mərtəbə,119 m²,295 000,AZN,2024-09-18,Təmirli,Çıxarış var
9502,20 Yanvar m.,3 otaqlı,12/20 mərtəbə,98 m²,205 000,AZN,2024-08-13,Təmirli,Çıxarış var
9503,Nəriman Nərimanov m.,3 otaqlı,10/18 mərtəbə,150 m²,358 000,AZN,2024-11-15,Təmirli,Çıxarış var
9504,Elmlər Akademiyası m.,2 otaqlı,3/16 mərtəbə,82 m²,197 000,AZN,2024-10-29,Təmirli,Çıxarış var
9505,Neftçilər m.,3 otaqlı,17/17 mərtəbə,142 m²,234 300,AZN,2024-08-12,Təmirsiz,Müqavilə
9506,Nəsimi r.,4 otaqlı,7/18 mərtəbə,178 m²,385 005,AZN,2024-10-12,Təmirli,Çıxarış var
9507,7-ci mikrorayon q.,2 otaqlı,2/17 mərtəbə,58 m²,145 000,AZN,2024-11-15,Təmirli,Çıxarış var
9508,Neftçilər m.,2 otaqlı,1/6 mərtəbə,74 m²,48 000,AZN,2024-11-09,Təmirsiz,Müqavilə
9509,Nərimanov r.,4 otaqlı,5/21 mərtəbə,175 m²,390 000,AZN,2024-11-15,Təmirli,Çıxarış var
9510,Neftçilər m.,3 otaqlı,3/6 mərtəbə,80 m²,145 000,AZN,2024-10-22,Təmirli,Müqavilə
9511,Həzi Aslanov m.,3 otaqlı,18/18 mərtəbə,122.5 m²,169 900,AZN,2024-11-22,Təmirli,Çıxarış var
9512,Xalqlar Dostluğu m.,4 otaqlı,19/19 mərtəbə,143 m²,239 000,AZN,2024-10-10,Təmirli,Çıxarış var
9513,Xətai r.,3 otaqlı,7/16 mərtəbə,134 m²,208 000,AZN,2024-11-15,Təmirsiz,Müqavilə
9514,Masazır q.,3 otaqlı,6/8 mərtəbə,51 m²,79 000,AZN,2024-11-15,Təmirli,Çıxarış var
9515,Həzi Aslanov m.,3 otaqlı,18/19 mərtəbə,80 m²,171 000,AZN,2024-11-15,Təmirli,Çıxarış var
9516,Masazır q.,3 otaqlı,6/8 mərtəbə,83 m²,110 000,AZN,2024-10-16,Təmirli,Çıxarış var
9517,Xətai r.,3 otaqlı,14/19 mərtəbə,140 m²,320 000,AZN,2024-11-15,Təmirli,Çıxarış var
9518,Yeni Günəşli q.,3 otaqlı,2/16 mərtəbə,68 m²,135 000,AZN,2024-11-15,Təmirli,Çıxarış var
9519,Xalqlar Dostluğu m.,3 otaqlı,17/19 mərtəbə,121 m²,193 600,AZN,2024-11-15,Təmirsiz,Çıxarış var
9520,İçəri Şəhər m.,8 otaqlı,11/14 mərtəbə,584.1 m²,1 985 000,AZN,2024-10-25,Təmirsiz,Çıxarış var
9521,Masazır q.,3 otaqlı,6/7 mərtəbə,82 m²,84 000,AZN,2024-08-20,Təmirli,Müqavilə
9522,Nəriman Nərimanov m.,2 otaqlı,8/17 mərtəbə,85 m²,270 000,AZN,2024-11-16,Təmirli,Müqavilə
9523,Koroğlu m.,2 otaqlı,14/16 mərtəbə,117.2 m²,357 460,AZN,2024-10-17,Təmirli,Müqavilə
9524,Əhmədli m.,4 otaqlı,5/16 mərtəbə,141 m²,205 000,AZN,2024-10-29,Təmirsiz,Çıxarış var
9525,Əhmədli q.,2 otaqlı,6/20 mərtəbə,55 m²,140 000,AZN,2024-11-15,Təmirli,Çıxarış var
9526,Nərimanov r.,2 otaqlı,14/17 mərtəbə,69 m²,245 000,AZN,2024-11-11,Təmirli,Çıxarış var
9527,Elmlər Akademiyası m.,3 otaqlı,3/12 mərtəbə,80 m²,270 000,AZN,2024-11-15,Təmirsiz,Müqavilə
9528,20 Yanvar m.,3 otaqlı,13/16 mərtəbə,105 m²,255 000,AZN,2024-10-16,Təmirli,Çıxarış var
9529,Neftçilər m.,1 otaqlı,4/5 mərtəbə,30 m²,95 000,AZN,2024-11-15,Təmirli,Çıxarış var
9530,Nizami m.,4 otaqlı,6/18 mərtəbə,192 m²,650 000,AZN,2024-09-16,Təmirli,Çıxarış var
9531,Nəriman Nərimanov m.,3 otaqlı,14/14 mərtəbə,97 m²,228 000,AZN,2024-11-15,Təmirli,Müqavilə
9532,Əhmədli q.,2 otaqlı,15/20 mərtəbə,60 m²,140 000,AZN,2024-11-15,Təmirli,Çıxarış var
9533,Nərimanov r.,2 otaqlı,17/17 mərtəbə,65 m²,204 000,AZN,2024-11-13,Təmirli,Çıxarış var
9534,Saray q.,2 otaqlı,11/14 mərtəbə,71 m²,95 000,AZN,2024-11-15,Təmirli,Çıxarış var
9535,Qara Qarayev m.,3 otaqlı,16/18 mərtəbə,85 m²,200 000,AZN,2024-11-15,Təmirli,Çıxarış var
9536,Şah İsmayıl Xətai m.,2 otaqlı,10/18 mərtəbə,86 m²,258 000,AZN,2024-11-15,Təmirli,Çıxarış var
9537,Xalqlar Dostluğu m.,3 otaqlı,16/19 mərtəbə,99 m²,199 000,AZN,2024-11-15,Təmirli,Çıxarış var
9538,Qara Qarayev m.,2 otaqlı,5/15 mərtəbə,57 m²,150 000,AZN,2024-06-02,Təmirli,Müqavilə
9539,Qara Qarayev m.,3 otaqlı,5/14 mərtəbə,91.6 m²,210 000,AZN,2024-10-26,Təmirsiz,Müqavilə
9540,Masazır q.,1 otaqlı,6/6 mərtəbə,54 m²,38 000,AZN,2024-11-09,Təmirsiz,Müqavilə
9541,Sabunçu r.,1 otaqlı,6/7 mərtəbə,52.5 m²,199 000,AZN,2024-11-15,Təmirsiz,Müqavilə
9542,Həzi Aslanov m.,4 otaqlı,6/16 mərtəbə,118 m²,240 000,AZN,2024-11-15,Təmirli,Çıxarış var
9543,8 Noyabr m.,3 otaqlı,3/17 mərtəbə,140 m²,330 000,AZN,2024-09-21,Təmirli,Müqavilə
9544,Şah İsmayıl Xətai m.,3 otaqlı,3/15 mərtəbə,162 m²,360 000,AZN,2024-08-29,Təmirli,Çıxarış var
9545,Şah İsmayıl Xətai m.,3 otaqlı,4/22 mərtəbə,101 m²,280 000,AZN,2024-08-29,Təmirli,Çıxarış var
9546,Şah İsmayıl Xətai m.,4 otaqlı,12/17 mərtəbə,230 m²,448 000,AZN,2024-05-07,Təmirli,Çıxarış var
9547,Qara Qarayev m.,3 otaqlı,16/17 mərtəbə,110 m²,200 000,AZN,2024-11-15,Təmirsiz,Çıxarış var
9548,28 May m.,3 otaqlı,6/18 mərtəbə,74 m²,235 000,AZN,2024-11-14,Təmirli,Müqavilə
9549,8 Noyabr m.,3 otaqlı,10/16 mərtəbə,140 m²,315 000,AZN,2024-08-23,Təmirli,Çıxarış var
9550,Elmlər Akademiyası m.,3 otaqlı,8/14 mərtəbə,101 m²,359 000,AZN,2024-06-15,Təmirsiz,Çıxarış var
9551,Hövsan q.,4 otaqlı,5/9 mərtəbə,115 m²,130 000,AZN,2024-11-20,Təmirli,Çıxarış var
9552,Bakıxanov q.,2 otaqlı,7/20 mərtəbə,70 m²,108 000,AZN,2024-11-15,Təmirli,Çıxarış var
9553,Masazır q.,2 otaqlı,7/15 mərtəbə,60 m²,78 800,AZN,2024-10-15,Təmirli,Müqavilə
9554,20 Yanvar m.,3 otaqlı,14/19 mərtəbə,95 m²,215 000,AZN,2024-11-13,Təmirli,Çıxarış var
9555,8 Noyabr m.,2 otaqlı,10/17 mərtəbə,60 m²,198 000,AZN,2024-11-15,Təmirli,Çıxarış var
9556,Yeni Yasamal q.,2 otaqlı,2/9 mərtəbə,65 m²,115 000,AZN,2024-09-02,Təmirli,Çıxarış var
9557,İnşaatçılar m.,3 otaqlı,17/19 mərtəbə,100 m²,285 000,AZN,2024-08-12,Təmirli,Çıxarış var
9558,Nərimanov r.,3 otaqlı,7/14 mərtəbə,115 m²,292 000,AZN,2024-11-15,Təmirli,Çıxarış var
9559,İnşaatçılar m.,3 otaqlı,8/18 mərtəbə,115 m²,210 000,AZN,2024-08-07,Təmirli,Çıxarış var
9560,Əhmədli m.,2 otaqlı,6/19 mərtəbə,55 m²,118 000,AZN,2024-11-15,Təmirli,Çıxarış var
9561,Şah İsmayıl Xətai m.,2 otaqlı,15/18 mərtəbə,110 m²,260 000,AZN,2024-10-09,Təmirli,Çıxarış var
9562,İnşaatçılar m.,2 otaqlı,2/19 mərtəbə,75 m²,219 000,AZN,2024-11-11,Təmirli,Çıxarış var
9563,Xətai r.,3 otaqlı,1/6 mərtəbə,92 m²,165 000,AZN,2024-11-15,Təmirli,Müqavilə
9564,28 May m.,2 otaqlı,17/18 mərtəbə,110 m²,294 000,AZN,2024-11-15,Təmirsiz,Müqavilə
9565,Nəsimi m.,3 otaqlı,12/17 mərtəbə,126 m²,273 000,AZN,2024-10-18,Təmirli,Çıxarış var
9566,İnşaatçılar m.,2 otaqlı,4/18 mərtəbə,108 m²,170 000,AZN,2024-08-17,Təmirli,Çıxarış var
9567,Həzi Aslanov m.,2 otaqlı,10/17 mərtəbə,55 m²,147 000,AZN,2024-11-15,Təmirli,Çıxarış var
9568,İnşaatçılar m.,3 otaqlı,6/16 mərtəbə,82 m²,236 000,AZN,2024-10-24,Təmirli,Çıxarış var
9569,Nəsimi m.,3 otaqlı,10/17 mərtəbə,110 m²,209 000,AZN,2024-11-11,Təmirli,Çıxarış var
9570,Yasamal r.,4 otaqlı,9/12 mərtəbə,132 m²,268 000,AZN,2024-10-08,Təmirli,Çıxarış var
9571,Xalqlar Dostluğu m.,3 otaqlı,5/19 mərtəbə,86 m²,169 000,AZN,2024-07-12,Təmirli,Çıxarış var
9572,Avtovağzal m.,4 otaqlı,14/17 mərtəbə,140 m²,225 000,AZN,2024-11-15,Təmirli,Çıxarış var
9573,Nəsimi m.,5 otaqlı,2/14 mərtəbə,200 m²,360 000,AZN,2024-09-25,Təmirli,Çıxarış var
9574,Masazır q.,2 otaqlı,4/8 mərtəbə,42 m²,57 000,AZN,2024-10-16,Təmirli,Müqavilə
9575,Əhmədli m.,4 otaqlı,13/13 mərtəbə,130 m²,215 500,AZN,2024-11-15,Təmirli,Çıxarış var
9576,Bayıl q.,4 otaqlı,16/19 mərtəbə,178.4 m²,409 000,AZN,2024-11-15,Təmirsiz,Çıxarış var
9577,Şah İsmayıl Xətai m.,3 otaqlı,11/13 mərtəbə,107 m²,240 000,AZN,2024-06-19,Təmirli,Çıxarış var
9578,Yeni Yasamal q.,3 otaqlı,13/16 mərtəbə,128 m²,211 200,AZN,2024-10-20,Təmirsiz,Müqavilə
9579,Həzi Aslanov m.,1 otaqlı,16/17 mərtəbə,50 m²,115 000,AZN,2024-10-28,Təmirli,Çıxarış var
9580,Binəqədi q.,2 otaqlı,12/17 mərtəbə,60 m²,175 000,AZN,2024-11-15,Təmirli,Müqavilə
9581,Əhmədli m.,3 otaqlı,2/14 mərtəbə,80 m²,178 000,AZN,2024-11-15,Təmirli,Çıxarış var
9582,Nəriman Nərimanov m.,4 otaqlı,4/17 mərtəbə,150 m²,400 000,AZN,2024-11-15,Təmirsiz,Müqavilə
9583,Elmlər Akademiyası m.,3 otaqlı,12/19 mərtəbə,90 m²,209 999,AZN,2024-11-15,Təmirli,Çıxarış var
9584,Xətai r.,2 otaqlı,5/19 mərtəbə,87 m²,195 000,AZN,2024-11-15,Təmirli,Çıxarış var
9585,Əhmədli m.,2 otaqlı,6/19 mərtəbə,70 m²,123 000,AZN,2024-11-15,Təmirli,Çıxarış var
9586,Binəqədi r.,3 otaqlı,6/17 mərtəbə,100 m²,270 000,AZN,2024-11-15,Təmirli,Çıxarış var
9587,Həzi Aslanov m.,4 otaqlı,6/16 mərtəbə,118 m²,240 000,AZN,2024-11-15,Təmirli,Çıxarış var
9588,Nərimanov r.,5 otaqlı,15/18 mərtəbə,210 m²,380 000,AZN,2024-10-01,Təmirli,Çıxarış var
9589,Nəriman Nərimanov m.,3 otaqlı,5/16 mərtəbə,100 m²,230 000,AZN,2024-08-08,Təmirli,Çıxarış var
9590,Xətai r.,2 otaqlı,11/20 mərtəbə,74 m²,189 000,AZN,2024-11-15,Təmirli,Müqavilə
9591,9-cu mikrorayon q.,4 otaqlı,3/16 mərtəbə,170 m²,319 900,AZN,2024-09-26,Təmirli,Çıxarış var
9592,İnşaatçılar m.,3 otaqlı,3/19 mərtəbə,125 m²,280 000,AZN,2024-08-05,Təmirli,Çıxarış var
9593,İnşaatçılar m.,3 otaqlı,14/20 mərtəbə,110 m²,190 000,AZN,2024-05-20,Təmirli,Çıxarış var
9594,Nəriman Nərimanov m.,4 otaqlı,11/16 mərtəbə,200 m²,665 000,AZN,2024-11-15,Təmirli,Müqavilə
9595,İnşaatçılar m.,3 otaqlı,6/10 mərtəbə,130 m²,310 000,AZN,2024-07-04,Təmirli,Çıxarış var
9596,28 May m.,2 otaqlı,13/15 mərtəbə,55 m²,165 000,AZN,2024-11-07,Təmirli,Çıxarış var
9597,Nərimanov r.,4 otaqlı,9/14 mərtəbə,160.5 m²,415 000,AZN,2024-08-14,Təmirli,Çıxarış var
9598,Nizami r.,3 otaqlı,11/17 mərtəbə,134 m²,264 000,AZN,2024-10-20,Təmirli,Çıxarış var
9599,Həzi Aslanov q.,2 otaqlı,2/16 mərtəbə,82 m²,175 000,AZN,2024-11-15,Təmirli,Çıxarış var
9600,Nəsimi m.,3 otaqlı,18/19 mərtəbə,100 m²,195 000,AZN,2024-11-15,Təmirli,Çıxarış var
9601,8 Noyabr m.,4 otaqlı,3/16 mərtəbə,210 m²,300 000,AZN,2024-11-11,Təmirli,Çıxarış var
9602,Xətai r.,3 otaqlı,4/22 mərtəbə,123 m²,240 000,AZN,2024-07-17,Təmirsiz,Müqavilə
9603,Neftçilər m.,3 otaqlı,2/19 mərtəbə,98 m²,215 000,AZN,2024-10-07,Təmirli,Müqavilə
9604,Ağ şəhər q.,3 otaqlı,3/7 mərtəbə,130.6 m²,768 568,AZN,2024-09-10,Təmirli,Müqavilə
9605,Nizami m.,2 otaqlı,4/16 mərtəbə,117 m²,352 170,AZN,2024-10-14,Təmirsiz,Müqavilə
9606,Nəriman Nərimanov m.,2 otaqlı,9/17 mərtəbə,44 m²,124 000,AZN,2024-11-15,Təmirli,Çıxarış var
9607,Şah İsmayıl Xətai m.,3 otaqlı,17/19 mərtəbə,128 m²,388 000,AZN,2024-11-15,Təmirli,Çıxarış var
9608,Nəriman Nərimanov m.,2 otaqlı,6/16 mərtəbə,98 m²,270 000,AZN,2024-09-03,Təmirli,Müqavilə
9609,Nəsimi r.,3 otaqlı,8/17 mərtəbə,158 m²,520 000,AZN,2024-08-04,Təmirli,Müqavilə
9610,Nəriman Nərimanov m.,3 otaqlı,7/12 mərtəbə,100 m²,330 000,AZN,2024-11-15,Təmirli,Çıxarış var
9611,Gənclik m.,4 otaqlı,8/10 mərtəbə,160 m²,450 000,AZN,2024-10-16,Təmirli,Müqavilə
