,Location,Number of rooms,Floor number,Area of apartment,Price,Currency,Date,Condition,Document status
108,Əhmədli m.,3 otaqlı,16/19 mərtəbə,103 m²,199 000,AZN,2024-11-22,Təmirli,Çıxarış var
109,Elmlər Akademiyası m.,3 otaqlı,6/17 mərtəbə,136 m²,450 000,AZN,2024-10-22,Təmirli,Çıxarış var
110,7-ci mikrorayon q.,3 otaqlı,8/10 mərtəbə,72 m²,156 000,AZN,2024-11-22,Təmirsiz,Çıxarış var
111,Elmlər Akademiyası m.,3 otaqlı,11/18 mərtəbə,90 m²,209 000,AZN,2024-11-04,Təmirli,Çıxarış var
112,Memar Əcəmi m.,3 otaqlı,10/11 mərtəbə,107 m²,230 000,AZN,2024-10-01,Təmirli,Çıxarış var
113,Nəsimi r.,3 otaqlı,17/17 mərtəbə,124.5 m²,398 400,AZN,2023-10-03,Təmirsiz,Çıxarış var
114,Həzi Aslanov q.,2 otaqlı,17/20 mərtəbə,72 m²,188 000,AZN,2024-11-16,Təmirli,Çıxarış var
115,Nərimanov r.,2 otaqlı,4/17 mərtəbə,97.8 m²,264 141,AZN,2024-04-13,Təmirsiz,Çıxarış var
116,Həzi Aslanov m.,4 otaqlı,3/16 mərtəbə,130 m²,243 000,AZN,2024-10-08,Təmirli,Çıxarış var
117,Məmmədli q.,2 otaqlı,3/10 mərtəbə,86 m²,110 000,AZN,2024-09-23,Təmirli,Çıxarış var
118,Nərimanov r.,3 otaqlı,3/14 mərtəbə,110 m²,310 000,AZN,2024-11-22,Təmirli,Müqavilə
119,Lökbatan q.,2 otaqlı,6/12 mərtəbə,73.8 m²,95 940,AZN,2024-09-02,Təmirsiz,Müqavilə
120,Həzi Aslanov m.,2 otaqlı,11/17 mərtəbə,55 m²,132 000,AZN,2024-09-21,Təmirli,Müqavilə
121,Şah İsmayıl Xətai m.,5 otaqlı,10/24 mərtəbə,226 m²,452 000,AZN,2024-09-11,Təmirli,Çıxarış var
122,İnşaatçılar m.,2 otaqlı,2/20 mərtəbə,63 m²,163 000,AZN,2024-11-22,Təmirli,Çıxarış var
